product_id,title,name,set_code,card_no,rarity,form,release_date,search_keyword,must_keywords,exclude_keywords,surugaya_url,surugaya_kaitori_url,supply_status,graded,active
op_st01_001_luffy_gold,onepiece,モンキー・D・ルフィ 金箔押し,ST01,ST01-001,L-P,promo,,ルフィ 金箔押し ST01-001,ルフィ|金箔,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL771061,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL771061,discontinued,0,1
op_p041_luffy_promo,onepiece,モンキー・D・ルフィ プロモ P-041,PROMO,P-041,P,promo,,ルフィ プロモ P-041,ルフィ|P-041,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL985334,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL985334,discontinued,0,1
op_premium_25th,onepiece,プレミアムカードコレクション 25周年エディション,PREMIUM,,BOX,box,,ワンピースカード プレミアムカードコレクション 25周年エディション,25周年,開封済|バラ|プロキシ,https://www.suruga-ya.jp/product/detail/620022485,https://www.suruga-ya.jp/kaitori/kaitori_detail/620022485,discontinued,0,1
op_premium_girls,onepiece,プレミアムカードコレクション ガールズエディション,PREMIUM,,BOX,box,,ワンピースカード プレミアムカードコレクション ガールズエディション,ガールズエディション,開封済|バラ|プロキシ,https://www.suruga-ya.jp/product/detail/620024247,https://www.suruga-ya.jp/kaitori/kaitori_detail/620024247,discontinued,0,1
op_premium_live_action,onepiece,プレミアムカードコレクション Live Action Edition,PREMIUM,,BOX,box,,ワンピースカード プレミアムカードコレクション Live Action Edition,Live Action,開封済|バラ|プロキシ|vol.2|Vol.2,https://www.suruga-ya.jp/product/detail/620024266,https://www.suruga-ya.jp/kaitori/kaitori_detail/620024266,discontinued,0,1
fw_fb02_139_vegito_scr,fusionworld,ベジット パラレル SCR☆☆,FB02,FB02-139,SCR☆☆,single,2024-05-10,フュージョンワールド ベジット SCR FB02-139,ベジット|SCR,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット|ヒーローズ,https://www.suruga-ya.jp/product/detail/GN503991,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN503991,active,0,1
fw_fb02_140_gfreeza_scr,fusionworld,ゴールデンフリーザ パラレル SCR☆,FB02,FB02-140,SCR☆,single,2024-05-10,フュージョンワールド ゴールデンフリーザ SCR FB02-140,フリーザ|SCR,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット|ヒーローズ,https://www.suruga-ya.jp/product/detail/GN503994,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN503994,active,0,1
fw_fb04_129_goku_scr2,fusionworld,孫悟空 パラレル SCR☆☆,FB04,FB04-129,SCR☆☆,single,,フュージョンワールド 孫悟空 SCR FB04-129,孫悟空|SCR,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット|ヒーローズ,https://www.suruga-ya.jp/product/detail/GN733087,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN733087,active,0,1
fw_e21_gogeta_marker,fusionworld,エナジーマーカー ゴジータ 金箔押し,PROMO,E-21,P,promo,,フュージョンワールド エナジーマーカー ゴジータ 金箔押し,ゴジータ|金箔,PSA|BGS|ARS|プロキシ|スリーブ|まとめ|セット|ヒーローズ,https://www.suruga-ya.jp/product/detail/GN808140,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN808140,discontinued,0,1
fw_fs03_broly_deck,fusionworld,スタートデッキ ブロリー FS-03,FS03,,DECK,box,,フュージョンワールド スタートデッキ ブロリー FS-03,ブロリー|FS-03,開封済|バラ|プロキシ,https://www.suruga-ya.jp/product/detail/620024235,https://www.suruga-ya.jp/kaitori/kaitori_detail/620024235,active,0,1
